CMS Incident Date,CMS CF Issue Date,CMS Complaint Close Date Year,CMS Complainant Source Desc,CMS Complainant Gender Desc,CMS Complainant Ethnicity Desc,CMS Accused at Incd Emp Type Desc,CMS Accused at Incd Gender Desc,CMS Accused at Incd Ethnicity Desc,CMS Allegation Type Description,CMS Disposition Type Description
,,,,,,,,,Discourtesy - General,Unfounded
,"January 29, 2022",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Hispanic,Unauthorized Force,Demonstrably False
,,,,,,,,White,Unauthorized Force,Demonstrably False
"August 4, 2021","August 4, 2021",2022,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,MALE,Asian,Neglect of Duty - Non-Supervisory Duties,Sustained
,,,,MALE,Black,Sworn Employee,MALE,Asian,Detention Violation,Unfounded
,,,,,,,,Hispanic,Detention Violation,Unfounded
,"August 5, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Black,Unauthorized Tactics,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,"October 6, 2021",2022,Public-Person Involved,MALE,White,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,,White,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
"August 5, 2021","August 5, 2021",2022,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Unauthorized Force,Demonstrably False
,,,,MALE,Black,Sworn Employee,MALE,White,Biased Policing,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,,,,,White,Sworn Employee,MALE,Hispanic,Discourtesy - General,Not Resolved
,"August 6, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,No Misconduct
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
,"August 8, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,FEMALE,White,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,MALE,Hispanic,Unauthorized Force,Unfounded
,,,,,,,,,Search Violation,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,,,,,,,,White,Search Violation,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,,Detention Violation,Unfounded
,"August 24, 2021",2022,Public-Third Party,MALE,White,Sworn Employee,MALE,White,Unbecoming Conduct - Social Media,No Misconduct
"August 6, 2021","August 6, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,FEMALE,Hispanic,Discourtesy - General,Alternate Complaint Resolution
,,,,,,,MALE,Asian,Discourtesy - General,Mediated
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Discourtesy - General,No Misconduct
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,,,,,,,,White,Biased Policing,Demonstrably False
,,,,,,,,,Discourtesy - General,Demonstrably False
,,,,,,,,,Discourtesy - General,No Misconduct
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Demonstrably False
,"August 7, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Black,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Demonstrably False
,,,,,,,,Hispanic,Biased Policing,Unfounded
,,,,,,,,,Detention Violation,Demonstrably False
,,,,,,,,White,Search Violation,Demonstrably False
,"August 8, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Black,Unbecoming Conduct - Miscellaneous,Alternate Complaint Resolution
,"August 24, 2021",2022,Public-Third Party,MALE,Black,Sworn Employee,FEMALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Actions Could be Different
,,,,,,,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Actions Could be Different
,,,,,UNKNOWN,Sworn Employee,MALE,Hispanic,Other Policy/Rule,Actions Could be Different
,,,,,,,,White,Other Policy/Rule,Actions Could be Different
"August 7, 2021","August 7, 2021",2022,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,MALE,Asian,Detention Violation,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,No Misconduct
,,,,,,,,Other,Detention Violation,Unfounded
